"SLIC","SLIC_Name","SLIC_Type","SLIC_State","OpTyp","SORT","CAP","SPAN","STRT","Facility.x","Facility.y"
"5390","LAKE DELTON","CTR","WI","PKG","L",4100,328,1700,-1.0381966599429,1.2024920774875
"6100","ROCK FALLS","CTR","IL","PKG","L",3516,328,1700,-1.05720602137986,1.18203428720785
"3900","KOSCIUSKO","CTR","MS","PKG","L",4566,328,1700,-1.16466810337768,1.07471380476841
"5440","WAUSAU","CTR","WI","PKG","L",4600,328,1700,-1.01695836342415,1.2214230002773
"6103","FREEPORT","CTR","IL","PKG","L",5527,328,1700,-1.04996846935162,1.18792027667348
"6270","SPRINGFIELD","CTR","IL","PKG","L",7274,328,1700,-1.0810659749011,1.15667815536993
"6380","SIKESTON","CTR","MO","PKG","L",3626,328,1700,-1.11691952123103,1.1204879401195
"6160","PEORIA","CTR","IL","PKG","L",5648,328,1700,-1.0698871793097,1.16741659287282
"6169","GREATER PEORIA","ARPT","IL","APT","S",3690,403,300,-1.06936385861241,1.16790015491293
"5449","STEVENS POINT","HUB","WI","HUB","L",9418,328,1700,-1.02198792621643,1.21488044091941
"6370","CAPE GIRARDEAU","CTR","MO","PKG","L",4834,328,1700,-1.11204498832271,1.12479113719323
"5371","MIDDLETON","CTR","WI","PKG","L",6750,328,1700,-1.03907747195454,1.19699490155772
"3800","DYERSBURG","CTR","TN","PKG","L",5690,328,1700,-1.12540158854887,1.10841071183549
"5450","RHINELANDER","CTR","WI","PKG","L",3750,328,1700,-1.00627697670274,1.22770874346437
"5370","CAPITAL","CTR","WI","PKG","L",4846,328,1700,-1.03783090143101,1.19474074025758
"3940","HATTIESBURG","CTR","MS","PKG","L",4478,328,1700,-1.18132830045905,1.05062058681924
"3941","LAUREL","CTR","MS","PKG","L",3965,328,1700,-1.17528171948872,1.05311051636176
"6280","CENTRALIA","CTR","IL","PKG","L",5316,328,1700,-1.0922822983904,1.13633928838147
"6135","PERU","CTR","IL","PKG","L",4292,328,1700,-1.05738997989711,1.17118814892509
"6119","ROCKFORD AIR HUB","HUB","IL","HUB","N",135023,403,2200,-1.04640057512355,1.18183259661684
"3950","GULFPORT","CTR","MS","PKG","L",3556,328,1700,-1.19043749813274,1.03659195222097
"5354","JANESVILLE-JANESVILL","CTR","WI","PKG","L",3690,328,1700,-1.03991985064248,1.18729195461618
"6170","BLOOMINGTON","CTR","IL","PKG","L",9382,328,1700,-1.06729965614553,1.15935195826457
"3831","TRENTON","CTR","TN","PKG","L",5202,328,1700,-1.1214366067858,1.10340400286303
"6252","DECATUR","CTR","IL","PKG","L",6445,328,1700,-1.07369957181463,1.15162229145855
"6290","MARION","CTR","IL","PKG","L",3465,328,1700,-1.09975674696215,1.12497397578521
"6259","DECATUR","HUB","IL","HUB","N",20000,403,2200,-1.073730070692,1.15122786676568
